,Name,Cost,Coordinates,Bed,Bath,Parking,Property_Type,Agency,Postcode,PTV
0,708/228 A'BECKETT STREET Melbourne VIC 3000,500.0,"[-37.8101911, 144.9566043]",2,1,0,Apartment / Unit / Flat, Elite Real Estate,3000,"[41.06558888, 94.70841003, 131.18498313]"
1,4/180 Little Collins Street Melbourne VIC 3000,500.0,"[-37.8138601, 144.9679067]",1,1,0,Apartment / Unit / Flat,Dingle Partners,3000,"[144.95323909, 157.01732523, 166.74847649]"
2,1605/565 Flinders Street Melbourne VIC 3000,500.0,"[-37.8210586, 144.9559072]",2,2,1,Apartment / Unit / Flat,Dingle Partners,3000,"[26.20177793, 32.82987166, 54.08487916]"
3,612/408 Lonsdale Street Melbourne VIC 3000,350.0,"[-37.8125979, 144.9604012]",1,1,0,Apartment / Unit / Flat,Gotham Property,3000,"[17.50050173, 57.57980144, 96.76005852]"
4,2108/288 Spencer Street Melbourne VIC 3000,350.0,"[-37.813775, 144.9520948]",1,1,0,Apartment / Unit / Flat,Motion Property,3000,"[48.06643745, 70.60349219, 79.34162645]"
5,1505/250 Elizabeth Street Melbourne VIC 3000,520.0,"[-37.812564, 144.9628184]",2,1,0,Apartment / Unit / Flat,Dingle Partners,3000,"[81.83820034, 99.02751071, 122.65489126]"
6,2413/220 Spencer Street Melbourne VIC 3000,450.0,"[-37.8157157, 144.9529559]",2,2,1,Apartment / Unit / Flat,Dingle Partners,3000,"[55.35311455, 55.56729387, 55.90871754]"
7,2205/22-24 Jane Bell Lane Melbourne VIC 3000,550.0,"[-37.8102205, 144.9662652]",2,1,0,Apartment / Unit / Flat,Re-define Real Estate,3000,"[61.03556356, 118.89520895, 147.90045854]"
8,G11/61 MacKenzie Street Melbourne VIC 3000,550.0,"[-37.8078714, 144.9663033]",2,1,1,Apartment / Unit / Flat,Dingle Partners,3000,"[72.60070446, 75.91353511, 115.09935415]"
9,9/15 Rankins Lane Melbourne VIC 3000,900.0,"[-37.81394179999999, 144.9623001]",2,2,0,Apartment / Unit / Flat,Dingle Partners,3000,"[57.30905232, 65.01360221, 104.66903829]"
10,3510/442 Elizabeth St Melbourne VIC 3000,680.0,"[-37.8082901, 144.9608496]",2,1,0,Apartment / Unit / Flat,Re-define Real Estate,3000,"[175.37710899, 193.89040545, 199.02513883]"
11,2004/288 Spencer Street Melbourne VIC 3000,360.0,"[-37.813775, 144.9520948]",1,1,0,Apartment / Unit / Flat,Hodges South Melbourne,3000,"[48.06643745, 70.60349219, 79.34162645]"
12,2201/288 Spencer Street Melbourne VIC 3000,400.0,"[-37.813775, 144.9520948]",1,1,0,Apartment / Unit / Flat,Motion Property,3000,"[48.06643745, 70.60349219, 79.34162645]"
13,101/25-33 Wills Street Melbourne VIC 3000,400.0,"[-37.8107757, 144.9569269]",1,1,0,Apartment / Unit / Flat,Samma Real Estate,3000,"[59.69829384, 100.25937212, 128.58180338]"
14,2905B/11 Rose Lane Melbourne VIC 3000,575.0,"[-37.815446, 144.9541165]",2,1,1,Apartment / Unit / Flat,Harcourts Melbourne City,3000,"[83.36413507, 152.54942177, 154.17434406]"
15,1901/368 St Kilda Road Melbourne VIC 3000,1800.0,"[-37.8318086, 144.9710272]",3,2,2,Apartment / Unit / Flat,Kay & Burton South Yarra,3000,"[31.66243137, 40.06651561, 49.46019789]"
16,1211/200 Spencer Street Melbourne VIC 3000,480.0,"[-37.816228, 144.9532465]",1,1,1,Apartment / Unit / Flat,Hodges South Melbourne,3000,"[64.93078674, 66.8099241, 67.3655901]"
17,3/27 Flinders Lane Melbourne VIC 3000,420.0,"[-37.8147317, 144.9733655]",1,1,0,Apartment / Unit / Flat,Dingle Partners,3000,"[110.48181552, 115.82052191, 134.3972878]"
18,102/9 Bligh Place Melbourne VIC 3000,600.0,"[-37.817317, 144.96371]",2,1,1,Apartment / Unit / Flat,Motion Property,3000,"[103.04893255, 106.77079889, 113.53842745]"
19,1715/220 Spencer Street Melbourne VIC 3000,600.0,"[-37.8157157, 144.9529559]",2,2,1,Apartment / Unit / Flat,Ease Real Estate,3000,"[55.35311455, 55.56729387, 55.90871754]"
