,Name,Cost,Coordinates,Bed,Bath,Parking,Property_Type,Agency,Postcode,Closest_Park,Closest_Post_Office,Closest_Railway_Station,CBD_Distance
0,5408/500 Elizabeth Street Melbourne VIC 3000,440.0,"[-37.8072443, 144.9602814]",1,1,0,Apartment / Unit / Flat,BRADY residential,3000,"{'distance': 423.1, 'duration': 68.7}","{'distance': 327.5, 'duration': 41.7}","{'distance': 716.8, 'duration': 93.1}","{'distance': 749.2, 'duration': 80.0}"
1,502/118 Russell Street Melbourne VIC 3000,620.0,"[-37.8135864, 144.9687232]",1,1,0,Apartment / Unit / Flat,Dingle Partners,3000,"{'distance': 470.2, 'duration': 65.5}","{'distance': 470.1, 'duration': 68.3}","{'distance': 786.1, 'duration': 126.5}","{'distance': 951.3, 'duration': 113.5}"
2,202A/441 Lonsdale Street Melbourne VIC 3000,300.0,"[-37.8134292, 144.9594445]",1,1,0,Apartment / Unit / Flat,Biggin & Scott Stonnington,3000,"{'distance': 841.9, 'duration': 105.1}","{'distance': 557.1, 'duration': 71.1}","{'distance': 484.9, 'duration': 74.2}","{'distance': 577.3, 'duration': 70.4}"
3,57/243 Collins Street Melbourne VIC 3000,400.0,"[-37.8159969, 144.9657956]",1,1,0,Apartment / Unit / Flat,Harcourts Melbourne City,3000,"{'distance': 2019.2, 'duration': 294.8}","{'distance': 184.3, 'duration': 47.4}","{'distance': 1277.7, 'duration': 180.9}","{'distance': 846.9, 'duration': 93.4}"
4,2311/601 Little Lonsdale Street Melbourne VIC 3000,625.0,"[-37.8137564, 144.9537143]",2,2,1,Apartment / Unit / Flat,Harcourts Melbourne City,3000,"{'distance': 607.6, 'duration': 89.2}","{'distance': 324.1, 'duration': 62.8}","{'distance': 429.7, 'duration': 81.5}","{'distance': 1052.5, 'duration': 136.8}"
5,711/422 Collins Street Melbourne VIC 3000,400.0,"[-37.8170971, 144.9601487]",1,1,0,Apartment / Unit / Flat,Harcourts Melbourne City,3000,"{'distance': 334.6, 'duration': 41.4}","{'distance': 480.6, 'duration': 66.2}","{'distance': 1428.7, 'duration': 196.2}","{'distance': 999.2, 'duration': 104.8}"
6,11a/131 Lonsdale Sreet Melbourne VIC 3000,350.0,"[-37.810779, 144.9685513]",1,1,0,Studio,Melbourne Residential Real Estate,3000,"{'distance': 427.2, 'duration': 76.8}","{'distance': 613.5, 'duration': 96.7}","{'distance': 929.5, 'duration': 154.8}","{'distance': 908.3, 'duration': 124.7}"
7,911/408 Lonsdale Street Melbourne VIC 3000,330.0,"[-37.8125979, 144.9604012]",1,1,0,Apartment / Unit / Flat,Dingle Partners,3000,"{'distance': 529.4, 'duration': 68.0}","{'distance': 201.3, 'duration': 20.7}","{'distance': 776.4, 'duration': 112.6}","{'distance': 342.0, 'duration': 35.2}"
8,918/422 Collins St Melbourne VIC 3000,600.0,"[-37.8170971, 144.9601487]",2,1,0,Apartment / Unit / Flat,Precinct Estate Agents ,3000,"{'distance': 334.6, 'duration': 41.4}","{'distance': 480.6, 'duration': 66.2}","{'distance': 1428.7, 'duration': 196.2}","{'distance': 999.2, 'duration': 104.8}"
9,602/118 Franklin Street Melbourne VIC 3000,330.0,"[-37.8082052, 144.9589035]",1,1,0,Apartment / Unit / Flat,Gotham Property,3000,"{'distance': 501.0, 'duration': 81.0}","{'distance': 405.5, 'duration': 54.0}","{'distance': 794.7, 'duration': 105.3}","{'distance': 827.2, 'duration': 92.3}"
