,Name,Cost,Coordinates,Bed,Bath,Parking,Property_Type,Agency,Postcode,Nearby_Schools,Primary_Distance,Secondary_Distance
0,5408/500 Elizabeth Street Melbourne VIC 3000,440.0,"[-37.8072443, 144.9602814]",1,1,0,Apartment / Unit / Flat,BRADY residential,3000,612,"{'distance': 1511.1, 'duration': 158.2}","{'distance': 923.1, 'duration': 105.6}"
1,502/118 Russell Street Melbourne VIC 3000,620.0,"[-37.8135864, 144.9687232]",1,1,0,Apartment / Unit / Flat,Dingle Partners,3000,630,"{'distance': 1652.9, 'duration': 183.0}","{'distance': 438.8, 'duration': 68.5}"
2,202A/441 Lonsdale Street Melbourne VIC 3000,300.0,"[-37.8134292, 144.9594445]",1,1,0,Apartment / Unit / Flat,Biggin & Scott Stonnington,3000,612,"{'distance': 2154.9, 'duration': 233.7}","{'distance': 738.2, 'duration': 110.8}"
3,57/243 Collins Street Melbourne VIC 3000,400.0,"[-37.8159969, 144.9657956]",1,1,0,Apartment / Unit / Flat,Harcourts Melbourne City,3000,625,"{'distance': 2424.5, 'duration': 256.7}","{'distance': 1211.2, 'duration': 160.1}"
4,2311/601 Little Lonsdale Street Melbourne VIC 3000,625.0,"[-37.8137564, 144.9537143]",2,2,1,Apartment / Unit / Flat,Harcourts Melbourne City,3000,608,"{'distance': 1626.5, 'duration': 239.6}","{'distance': 268.9, 'duration': 50.8}"
5,711/422 Collins Street Melbourne VIC 3000,400.0,"[-37.8170971, 144.9601487]",1,1,0,Apartment / Unit / Flat,Harcourts Melbourne City,3000,614,"{'distance': 2575.7, 'duration': 319.5}","{'distance': 1312.3, 'duration': 168.4}"
6,11a/131 Lonsdale Sreet Melbourne VIC 3000,350.0,"[-37.810779, 144.9685513]",1,1,0,Studio,Melbourne Residential Real Estate,3000,631,"{'distance': 1609.9, 'duration': 194.2}","{'distance': 582.2, 'duration': 96.8}"
7,911/408 Lonsdale Street Melbourne VIC 3000,330.0,"[-37.8125979, 144.9604012]",1,1,0,Apartment / Unit / Flat,Dingle Partners,3000,614,"{'distance': 1919.7, 'duration': 198.6}","{'distance': 878.3, 'duration': 127.8}"
8,918/422 Collins St Melbourne VIC 3000,600.0,"[-37.8170971, 144.9601487]",2,1,0,Apartment / Unit / Flat,Precinct Estate Agents ,3000,614,"{'distance': 2575.7, 'duration': 319.5}","{'distance': 1312.3, 'duration': 168.4}"
9,602/118 Franklin Street Melbourne VIC 3000,330.0,"[-37.8082052, 144.9589035]",1,1,0,Apartment / Unit / Flat,Gotham Property,3000,611,"{'distance': 1589.1, 'duration': 170.5}","{'distance': 946.9, 'duration': 112.9}"
10,1112/333-351 Exhibition Street Melbourne VIC 3000,600.0,"[-37.80789559999999, 144.9682873]",2,2,0,Apartment / Unit / Flat,Dingle Partners,3000,627,"{'distance': 745.6, 'duration': 89.5}","{'distance': 903.0, 'duration': 133.2}"
11,3002/288 Spencer St Melbourne VIC 3000,510.0,"[-37.813775, 144.9520948]",2,1,1,Apartment / Unit / Flat,Re-define Real Estate,3000,602,"{'distance': 1772.6, 'duration': 274.6}","{'distance': 414.9, 'duration': 85.8}"
12,4/180 Little Collins Street Melbourne VIC 3000,500.0,"[-37.8138601, 144.9679067]",1,1,0,Apartment / Unit / Flat,Dingle Partners,3000,620,"{'distance': 1777.9, 'duration': 200.6}","{'distance': 563.7, 'duration': 86.1}"
13,1605/565 Flinders Street Melbourne VIC 3000,500.0,"[-37.8210586, 144.9559072]",2,2,1,Apartment / Unit / Flat,Dingle Partners,3000,608,"{'distance': 1558.3, 'duration': 181.5}","{'distance': 1345.3, 'duration': 191.8}"
14,701/101 Therry St Melbourne VIC 3000,585.0,"[-37.8074149, 144.9591227]",1,1,0,Apartment / Unit / Flat,LIV,3000,610,"{'distance': 1739.8, 'duration': 164.9}","{'distance': 737.9, 'duration': 92.6}"
15,816/101 Therry St Melbourne VIC 3000,820.0,"[-37.8074149, 144.9591227]",2,2,0,Apartment / Unit / Flat,LIV,3000,610,"{'distance': 1739.8, 'duration': 164.9}","{'distance': 737.9, 'duration': 92.6}"
16,2108/288 Spencer Street Melbourne VIC 3000,350.0,"[-37.813775, 144.9520948]",1,1,0,Apartment / Unit / Flat,Motion Property,3000,602,"{'distance': 1772.6, 'duration': 274.6}","{'distance': 414.9, 'duration': 85.8}"
17,1505/250 Elizabeth Street Melbourne VIC 3000,520.0,"[-37.812564, 144.9628184]",2,1,0,Apartment / Unit / Flat,Dingle Partners,3000,615,"{'distance': 1966.2, 'duration': 204.3}","{'distance': 1095.7, 'duration': 131.3}"
18,2205/22-24 Jane Bell Lane Melbourne VIC 3000,550.0,"[-37.8102205, 144.9662652]",2,1,0,Apartment / Unit / Flat,Re-define Real Estate,3000,621,"{'distance': 1234.8, 'duration': 129.5}","{'distance': 585.8, 'duration': 86.2}"
19,9/15 Rankins Lane Melbourne VIC 3000,900.0,"[-37.81394179999999, 144.9623001]",2,2,0,Apartment / Unit / Flat,Dingle Partners,3000,615,"{'distance': 2144.1, 'duration': 263.6}","{'distance': 1081.4, 'duration': 163.9}"
20,3510/442 Elizabeth St Melbourne VIC 3000,650.0,"[-37.8082901, 144.9608496]",2,1,0,Apartment / Unit / Flat,Re-define Real Estate,3000,614,"{'distance': 1486.5, 'duration': 157.5}","{'distance': 844.3, 'duration': 100.0}"
