,Name,Cost,Coordinates,Bed,Bath,Parking,Property_Type,Agency,Postcode
53,208/268 Flinders St Melbourne VIC 3000,295,"[-37.8178134, 144.9655688]",1,1,−,Apartment / Unit / Flat,Re-define Real Estate,3000.0
54,251/350 St Kilda Road Melbourne VIC 3000,2800,"[-37.831142, 144.9708545]",3,3,3,Apartment / Unit / Flat,Kay & Burton South Yarra,3000.0
55,2206/288 Spencer Street Melbourne VIC 3000,440,"[-37.813775, 144.9520948]",1,1,−,Apartment / Unit / Flat,Motion Property,3000.0
56,2707/288 Spencer Street Melbourne VIC 3000,440,"[-37.813775, 144.9520948]",1,1,−,Apartment / Unit / Flat,Motion Property,3000.0
57,394 Collins Street Melbourne VIC 3000,550,"[-37.816819, 144.9611835]",1,1,−,Apartment / Unit / Flat,Gotham Property,3000.0
58,Studio/480 Elizabeth Street Melbourne VIC 3000,389,"[-37.8075067, 144.9604861]",Apartment / Unit / Flat,UniLodge,3000,,,
59,506/253 Franklin Street Melbourne VIC 3000,330,"[-37.8095025, 144.9566681]",1,1,−,Apartment / Unit / Flat,Pagan Real Estate,3000.0
60,4703/464 Collins Street Melbourne VIC 3000,550,"[-37.8175602, 144.9585916]",1,1,−,Apartment / Unit / Flat,LJ Hooker City Residential,3000.0
61,2501/27 Therry Street Melbourne VIC 3000,675,"[-37.8069882, 144.9610136]",2,2,1,Apartment / Unit / Flat,Melcorp Real Estate,3000.0
62,1902/618 Lonsdale Street Melbourne VIC 3000,620.00,"[-37.8142509, 144.9539845]",2,2,1,Apartment / Unit / Flat,MICM Real Estate,3000.0
63,2314/23 Mackenzie Street Melbourne VIC 3000,650,"[-37.8075453, 144.9673268]",2,1,−,Apartment / Unit / Flat,Areal Property - Box Hill,3000.0
64,2401/380 Little Lonsdale Street Melbourne VIC 3000,650,"[-37.8121026, 144.9581291]",2,1,−,Apartment / Unit / Flat, Elite Real Estate,3000.0
65,1605/8 Sutherland Street Melbourne VIC 3000,550,"[-37.8113164, 144.9609854]",2,2,−,Apartment / Unit / Flat,BRADY residential,3000.0
66,106/455 Elizabeth Street Melbourne VIC 3000,370,"[-37.8084293, 144.9602064]",1,1,−,Apartment / Unit / Flat, Elite Real Estate,3000.0
67,402/5 Sutherland Street Melbourne VIC 3000,400,"[-37.811416, 144.9608504]",1,1,−,Apartment / Unit / Flat,BRADY residential,3000.0
68,4509/135 A'beckett Street Melbourne VIC 3000,650,"[-37.8097879, 144.9596466]",2,1,1,Apartment / Unit / Flat,Melcorp Real Estate,3000.0
69,1610/27 Little Collins Street Melbourne VIC 3000,410,"[-37.8128985, 144.9727786]",1,1,−,House,Banksia Property Agency,3000.0
70,541/57 Spencer Street Melbourne VIC 3000,400,"[-37.82004610000001, 144.9542894]",1,1,−,Apartment / Unit / Flat,KEYSTONE REAL ESTATE,3000.0
71,1302/81 A'beckett Street Melbourne VIC 3000,450,"[-37.8092252, 144.9613779]",1,1,−,Apartment / Unit / Flat,Areal Property - Box Hill,3000.0
72,Melbourne VIC 3000,550,"[-37.8152065, 144.963937]",2,1,−,Apartment / Unit / Flat,Property Now,3000.0
73,3208/618 Lonsdale Street Melbourne VIC 3000,630.00,"[-37.8142509, 144.9539845]",2,2,1,Apartment / Unit / Flat,MICM Real Estate,3000.0
74,4409/500 Elizbeth Street Melbourne VIC 3000,450.00,"[-37.8072443, 144.9602814]",1,1,−,Apartment / Unit / Flat,MICM Real Estate,3000.0
75,2002/81 A'Beckett Street Melbourne VIC 3000,500,"[-37.8092252, 144.9613779]",1,1,−,Apartment / Unit / Flat,Austrump Glen Pty Ltd,3000.0
76,4813/33 Rose Lane Melbourne VIC 3000,500,"[-37.8150137, 144.9538694]",2,1,−,Apartment / Unit / Flat,Melcorp Real Estate,3000.0
77,504/300 Swanston Street Melbourne VIC 3000,630,"[-37.8106088, 144.9645798]",2,1,1,Apartment / Unit / Flat,Melcorp Real Estate,3000.0
78,1110/371 Little Lonsdale Street Melbourne VIC 3000,685,"[-37.8117708, 144.9609302]",2,2,−,Apartment / Unit / Flat,BRADY residential,3000.0
79,5503/560 Lonsdale Street Melbourne VIC 3000,790.00,"[-37.8140313, 144.9556025]",2,2,1,Apartment / Unit / Flat,MICM Real Estate,3000.0
80,613/585 La Trobe Street Melbourne VIC 3000,450,"[-37.8132789, 144.9518393]",2,1,1,Apartment / Unit / Flat,Ray White Southbank & Port Phillip,3000.0
81,5104/462 Elizabeth Street Melbourne VIC 3000,680,"[-37.807859, 144.960611]",2,2,−,Apartment / Unit / Flat,Areal Property - Box Hill,3000.0
82,4805/560 Lonsdale Street Melbourne VIC 3000,780.00,"[-37.8140313, 144.9556025]",2,2,1,Apartment / Unit / Flat,MICM Real Estate,3000.0
83,2813/350 William Street Melbourne VIC 3000,480,"[-37.8112344, 144.9564823]",2,2,−,Apartment / Unit / Flat,JMRE Real Estate,3000.0
84,5512/560 Lonsdale Street Melbourne VIC 3000,930.00,"[-37.8140313, 144.9556025]",3,2,1,Apartment / Unit / Flat,MICM Real Estate,3000.0
85,3405/33 Rose Lane Melbourne VIC 3000,600,"[-37.8150137, 144.9538694]",2,1,−,Apartment / Unit / Flat,Levic Group Pty Ltd,3000.0
86,3309/120 A'Beckett Street Melbourne VIC 3000,500,"[-37.8093086, 144.9597389]",2,2,1,Apartment / Unit / Flat,Wood Property,3000.0
87,404/181 A’Beckett Melbourne VIC 3000,380.00,"[-37.8101564, 144.9581958]",1,1,−,Studio,MICM Real Estate,3000.0
88,1609/228 La Trobe Street Melbourne VIC 3000,720,"[-37.8097514, 144.9626141]",2,1,−,Apartment / Unit / Flat,Melplex Real Estate,3000.0
89,1603/618 Lonsdale Street Melbourne VIC 3000,680.00,"[-37.8142509, 144.9539845]",2,2,1,Apartment / Unit / Flat,MICM Real Estate,3000.0
90,2502/200 Spencer Street Melbourne VIC 3000,550.00,"[-37.816228, 144.9532465]",2,1,1,Apartment / Unit / Flat,LITTLE Real Estate Victoria,3000.0
91,6005/462 Elizabeth Street Melbourne VIC 3000,750,"[-37.807859, 144.960611]",2,2,−,Apartment / Unit / Flat,Austrump Glen Pty Ltd,3000.0
92,2301/33 Rose Lane Melbourne VIC 3000,490.00,"[-37.8150137, 144.9538694]",1,1,1,Apartment / Unit / Flat,LITTLE Real Estate Victoria,3000.0
93,504/260 Little Collins St Melbourne VIC 3000,400,"[-37.8144791, 144.9657934]",1,1,−,Apartment / Unit / Flat,My Agent Real Estate,3000.0
94,216/300 Swanston Street Melbourne VIC 3000,450,"[-37.8106088, 144.9645798]",1,1,−,Apartment / Unit / Flat,Landmark Real Estate,3000.0
95,202/243 Franklin Street Melbourne VIC 3000,350,"[-37.809763, 144.9569891]",1,1,−,Apartment / Unit / Flat,Areal Property - Point Cook,3000.0
96,FLAT 212/500 FLINDERS STREET Melbourne VIC 3000,380.00,"[-37.8200193, 144.9578273]",1,1,−,Apartment / Unit / Flat,Property Now,3000.0
97,1102/22-24 Jane Bell Lane Melbourne VIC 3000,600,"[-37.8102205, 144.9662652]",2,1,1,Apartment / Unit / Flat,Longview Real Estate,3000.0
98,1909/560 Lonsdale Street Melbourne VIC 3000,680.00,"[-37.8140313, 144.9556025]",2,2,−,Apartment / Unit / Flat,MICM Real Estate,3000.0
99,76/283 Spring Street Melbourne VIC 3000,600.00,"[-37.8081498, 144.9712082]",2,2,1,Apartment / Unit / Flat,MICM Real Estate,3000.0
