,Name,Cost,Coordinates,Bed,Bath,Parking,Property_Type,Agency,Postcode
177,162 George Street East Melbourne VIC 3002,"1,300","[-37.8150779, 144.9851819]",3,2,1,Townhouse,RT Edgar Toorak,3002.0
178,86 Hotham Street East Melbourne VIC 3002,475,"[-37.8141406, 144.9874786]",1,1,1,Apartment / Unit / Flat,BigginScott Richmond,3002.0
179,102/279 Wellington Parade South East Melbourne VIC 3002,480,"[-37.8162335, 144.9760382]",1,1,1,Apartment / Unit / Flat,Marvelli Town & Associates,3002.0
180,16/22 Agnes Street East Melbourne VIC 3002,530.00,"[-37.8177361, 144.9800992]",2,1,1,Apartment / Unit / Flat,Hodges Prahran South Yarra,3002.0
181,303V/162 Albert Street East Melbourne VIC 3002,485,"[-37.8100432, 144.9855313]",2,1,1,Apartment / Unit / Flat,Belle Property South Melbourne,3002.0
182,304/280 Albert Street East Melbourne VIC 3002,950,"[-37.8097936, 144.9817503]",2,2,1,Apartment / Unit / Flat,Real Estate Services by Mirvac,3002.0
183,East Melbourne VIC 3002,"1,500","[-37.8161444, 144.9804594]",1,1,1,Apartment / Unit / Flat,Cubbi,3002.0
184,105M/201 Powlett Street East Melbourne VIC 3002,390.00,"[-37.8096583, 144.9856197]",1,1,1,Apartment / Unit / Flat,LITTLE Real Estate Victoria,3002.0
185,710 / 10 St Andrews East Melbourne VIC 3002,590,"[-37.811829, 144.9767106]",−,1,1,Apartment / Unit / Flat,Cubbi,3002.0
186,208V/162 Albert Street East Melbourne VIC 3002,510,"[-37.8100432, 144.9855313]",2,1,1,Apartment / Unit / Flat,Xynergy Realty Oakleigh,3002.0
187,115V/162 Albert Street East Melbourne VIC 3002,520,"[-37.8100432, 144.9855313]",2,1,1,Apartment / Unit / Flat,Leasing Melbourne Pty Ltd ,3002.0
188,26/211 Wellington Parade South East Melbourne VIC 3002,750,"[-37.8164312, 144.977452]",3,2,2,Apartment / Unit / Flat,Shine Real Estate Pty Ltd,3002.0
189,213/33 Cliveden Close East Melbourne VIC 3002,390,"[-37.8171001, 144.9767157]",1,1,1,Apartment / Unit / Flat,Jalin Realty Australia,3002.0
190,9/8 Wellington Crescent East Melbourne VIC 3002,780,"[-37.8172238, 144.9776702]",3,2,2,Apartment / Unit / Flat,International Equities Carlton,3002.0
191,560 Victoria Parade East Melbourne VIC 3002,990,"[-37.81013799999999, 144.990052]",4,1,−,House,Ember Estate Agents,3002.0
192,158 Simpson Street East Melbourne VIC 3002,995,"[-37.8106622, 144.9890725]",1,1,1,Apartment / Unit / Flat,Corporate Keys Australia,3002.0
193,201/65 Dudley Street West Melbourne VIC 3003,420,"[-37.810221, 144.9506929]",1,1,−,Apartment / Unit / Flat,Waterdale Property Agent Pty Ltd,3003.0
194,G02/135 Roden Street West Melbourne VIC 3003,580,"[-37.8083908, 144.9476329]",2,1,1,Apartment / Unit / Flat,Waterdale Property Agent Pty Ltd,3003.0
195,78 Hawke Street West Melbourne VIC 3003,"1,100","[-37.808169, 144.94545]",3,2,1,House,Jellis Craig Northcote,3003.0
196,201/65 Dudley Street West Melbourne VIC 3003,420,"[-37.810221, 144.9506929]",1,1,−,Apartment / Unit / Flat,Waterdale Property Agent Pty Ltd,3003.0
197,260 Adderley Street West Melbourne VIC 3003,950,"[-37.8076896, 144.9440153]",3,3,−,Townhouse,Joseph Louis Realty,3003.0
198,603 Spencer Street West Melbourne VIC 3003,525,"[-37.806974, 144.946149]",2,1,1,House,BigginScott Richmond,3003.0
199,503/9 Dryburgh Street West Melbourne VIC 3003,500,"[-37.806619, 144.9424148]",2,2,1,Apartment / Unit / Flat,Motion Property,3003.0
200,29 Ireland Street West Melbourne VIC 3003,"1,100","[-37.8077127, 144.9450198]",3,2,1,House,Alexkarbon Real Estate Pty Ltd,3003.0
201,"Level 2, 208/16 Anderson Street West Melbourne VIC 3003",390,"[-37.8056962, 144.9421047]",1,1,−,Apartment / Unit / Flat,Alexkarbon Real Estate Pty Ltd,3003.0
