School_Name,Education_Sector,School_Type,Postcode,Longitude,Latitude
Great Western Primary School,Government,Primary,3374,142.85173,-37.14851
Maffra Primary School,Government,Primary,3860,146.97677,-37.964
Broken Creek Primary School,Government,Primary,3673,145.88923,-36.42328
Lal Lal Primary School,Government,Primary,3352,144.01071,-37.67672
Cobden Primary School,Government,Primary,3266,143.07812,-38.32712
St Leonards Primary School,Government,Primary,3223,144.71475,-38.17184
Lilydale Primary School,Government,Primary,3140,145.35407,-37.75367
Bendigo Primary School,Government,Primary,3550,144.26524,-36.75702
Darraweit Guim Primary School,Government,Primary,3756,144.89357,-37.40103
Linton Primary School,Government,Primary,3360,143.56131,-37.68407
Invermay Primary School,Government,Primary,3352,143.87458,-37.52053
Mitta Mitta Primary School,Government,Primary,3701,147.37948,-36.53341
Camberwell Primary School,Government,Primary,3124,145.05805,-37.83268
Greenvale Primary School,Government,Primary,3059,144.88618,-37.63983
Alexandra Primary School,Government,Primary,3714,145.7117,-37.19257
Rockbank Primary School,Government,Primary,3335,144.6619,-37.73215
Bannockburn P-12 College,Government,Pri/Sec,3331,144.16067,-38.042
Doreen Primary School,Government,Primary,3754,145.14554,-37.60601
Talbot Primary School,Government,Primary,3371,143.7036,-37.16865
Yarra Glen Primary School,Government,Primary,3775,145.37241,-37.6497
Kangaroo Flat Primary School,Government,Primary,3555,144.23409,-36.78768
Westmeadows Primary School,Government,Primary,3049,144.8957,-37.67565
Sunbury Primary School,Government,Primary,3429,144.72814,-37.59769
Diamond Creek Primary School,Government,Primary,3089,145.15165,-37.67185
Hesket Primary School,Government,Primary,3442,144.61978,-37.34781
Axedale Primary School,Government,Primary,3551,144.50146,-36.78623
Vermont Primary School,Government,Primary,3133,145.1943,-37.83736
Tarnagulla Primary School,Government,Primary,3551,143.8284,-36.77126
Balwyn Primary School,Government,Primary,3103,145.08138,-37.81394
Scoresby Primary School,Government,Primary,3179,145.2275,-37.89395
Carisbrook Primary School,Government,Primary,3464,143.81266,-37.05206
Wandin Yallock Primary School,Government,Primary,3139,145.43595,-37.79025
Yering Primary School,Government,Primary,3770,145.38222,-37.70535
Dartmoor Primary School,Government,Primary,3304,141.27673,-37.92302
Mickleham Primary School,Government,Primary,3064,144.87655,-37.5635
Inglewood Primary School,Government,Primary,3517,143.87045,-36.57394
Chewton Primary School,Government,Primary,3451,144.26116,-37.08233
Bolinda Primary School,Government,Primary,3432,144.7454,-37.43373
Napoleons Primary School,Government,Primary,3352,143.82646,-37.67863
Kew Primary School,Government,Primary,3101,145.03339,-37.80364
Haddon Primary School,Government,Primary,3351,143.72171,-37.58864
Panmure Primary School,Government,Primary,3265,142.73253,-38.32935
Sorrento Primary School,Government,Primary,3943,144.74069,-38.34148
Alfredton Primary School,Government,Primary,3350,143.8021,-37.5548
Bridgewater Primary School,Government,Primary,3516,143.94592,-36.6031
Hastings Primary School,Government,Primary,3915,145.18947,-38.2997
Yackandandah Primary School,Government,Primary,3749,146.83646,-36.3121
Nagambie Primary School,Government,Primary,3608,145.15723,-36.78759
Heyfield Primary School,Government,Primary,3858,146.78494,-37.98211
Moorabbin Primary School,Government,Primary,3189,145.03959,-37.94202
Mansfield Primary School,Government,Primary,3722,146.08482,-37.05559
Middle Indigo Primary School,Government,Primary,3688,146.72484,-36.15601
Briagolong Primary School,Government,Primary,3860,147.06784,-37.8428
Lindenow Primary School,Government,Primary,3865,147.45327,-37.80088
Broadford Primary School,Government,Primary,3658,145.0463,-37.20257
Murchison Primary School,Government,Primary,3610,145.21429,-36.61718
Panton Hill Primary School,Government,Primary,3759,145.23956,-37.64161
Glen Park Primary School,Government,Primary,3352,143.9348,-37.52478
Concongella Primary School,Government,Primary,3384,142.82232,-37.04956
Bruthen Primary School,Government,Primary,3885,147.83349,-37.70421
Swan Hill Primary School,Government,Primary,3585,143.54325,-35.34691
Porepunkah Primary School,Government,Primary,3740,146.91102,-36.69949
Leopold Primary School,Government,Primary,3224,144.46437,-38.18726
Inverleigh Primary School,Government,Primary,3321,144.05469,-38.10094
Glen Iris Primary School,Government,Primary,3146,145.06589,-37.86048
Trawalla Primary School,Government,Primary,3373,143.46986,-37.43773
Quarry Hill Primary School,Government,Primary,3550,144.27998,-36.77512
Sebastopol Primary School,Government,Primary,3356,143.84472,-37.59643
Woodside Primary School,Government,Primary,3874,146.87674,-38.52633
Noorat Primary School,Government,Primary,3265,142.92873,-38.19075
Albert Park Primary School,Government,Primary,3206,144.95277,-37.84188
Williamstown Primary School,Government,Primary,3016,144.90041,-37.8638
Boneo Primary School,Government,Primary,3939,144.88728,-38.41187
Queenscliff Primary School,Government,Primary,3225,144.65621,-38.26722
Portland North Primary School,Government,Primary,3305,141.57233,-38.31764
Timor Primary School,Government,Primary,3465,143.71199,-36.98422
Apsley Primary School,Government,Primary,3319,141.08249,-36.97371
Strathfieldsaye Primary School,Government,Primary,3551,144.35291,-36.80436
Skye Primary School,Government,Primary,3977,145.20124,-38.11771
Tooborac Primary School,Government,Primary,3522,144.79814,-37.03978
Lucknow Primary School,Government,Primary,3875,147.63075,-37.81267
Upper Plenty Primary School,Government,Primary,3756,145.05787,-37.42371
Carlton North Primary School,Government,Primary,3054,144.97303,-37.79106
Maldon Primary School,Government,Primary,3463,144.06581,-36.99504
Woori Yallock Primary School,Government,Primary,3139,145.53269,-37.77737
Moyston Primary School,Government,Primary,3377,142.76785,-37.30166
Buninyong Primary School,Government,Primary,3357,143.88625,-37.65423
Marysville Primary School,Government,Primary,3779,145.74894,-37.51198
Langley Primary School,Government,Primary,3444,144.48966,-37.17118
Wandong Primary School,Government,Primary,3758,145.02786,-37.3603
Cowes Primary School,Government,Primary,3922,145.24131,-38.45628
Bullarto Primary School,Government,Primary,3461,144.21822,-37.40538
Lismore Primary School,Government,Primary,3324,143.3393,-37.9546
Lower Plenty Primary School,Government,Primary,3093,145.1155,-37.72617
Specimen Hill Primary School,Government,Primary,3555,144.24834,-36.76187
Bolwarra Primary School,Government,Primary,3305,141.6138,-38.28161
Navarre Primary School,Government,Primary,3384,143.11134,-36.90074
Warracknabeal Primary School,Government,Primary,3393,142.39126,-36.25788
Moyhu Primary School,Government,Primary,3732,146.38309,-36.59317
Natte Yallock Primary School,Government,Primary,3465,143.468,-36.94213
Clifton Hill Primary School,Government,Primary,3068,144.98925,-37.79231
Christmas Hills Primary School,Government,Primary,3775,145.3042,-37.65352
Tallangatta Primary School,Government,Primary,3700,147.1742,-36.2148
Kialla Central Primary School,Government,Primary,3631,145.43115,-36.4527
Mount Eliza Primary School,Government,Primary,3930,145.09219,-38.19539
San Remo Primary School,Government,Primary,3925,145.36945,-38.52385
Dimboola Primary School,Government,Primary,3414,142.0304,-36.45336
Whorouly Primary School,Government,Primary,3735,146.58665,-36.50544
Merrijig Primary School,Government,Primary,3723,146.25688,-37.1028
Lethbridge Primary School,Government,Primary,3332,144.13456,-37.96906
Oxley Primary School,Government,Primary,3678,146.36064,-36.44156
Northcote Primary School,Government,Primary,3070,144.99688,-37.77176
North Melbourne Primary School,Government,Primary,3051,144.95064,-37.79873
Dandenong Primary School,Government,Primary,3175,145.21982,-37.98792
Malmsbury Primary School,Government,Primary,3446,144.38694,-37.18732
Williamstown North Primary School,Government,Primary,3016,144.89176,-37.8559
Kerang Primary School,Government,Primary,3579,143.92114,-35.73169
Drouin West Primary School,Government,Primary,3818,145.87172,-38.08711
Meredith Primary School,Government,Primary,3333,144.07781,-37.84271
Edi Upper Primary School,Government,Primary,3678,146.44881,-36.70647
Eaglehawk North Primary School,Government,Primary,3556,144.23727,-36.70707
Mooroopna Primary School,Government,Primary,3629,145.36029,-36.39136
Cairnlea Park Primary School,Government,Primary,3023,144.788,-37.75885
Ballan Primary School,Government,Primary,3342,144.2311,-37.60168
Mount Pleasant Primary School,Government,Primary,3350,143.85781,-37.57836
Tatura Primary School,Government,Primary,3616,145.22992,-36.44497
Toolamba Primary School,Government,Primary,3614,145.34418,-36.49052
Harston Primary School,Government,Primary,3616,145.14175,-36.46986
Osbornes Flat Primary School,Government,Primary,3691,146.89257,-36.31716
Frankston Primary School,Government,Primary,3199,145.12403,-38.14756
Donald Primary School,Government,Primary,3480,142.98463,-36.36721
Beveridge Primary School,Government,Primary,3753,144.97776,-37.47206
St Kilda Primary School,Government,Primary,3182,144.98902,-37.87022
Cape Clear Primary School,Government,Primary,3351,143.60821,-37.79196
Warburton Primary School,Government,Primary,3799,145.7017,-37.7558
Tallarook Primary School,Government,Primary,3659,145.10067,-37.09676
Barnawartha Primary School,Government,Primary,3688,146.67589,-36.10131
Fitzroy North Primary School,Government,Primary,3068,144.98415,-37.78502
Ashby Primary School,Government,Primary,3218,144.3471,-38.13856
Preston Primary School,Government,Primary,3072,145.01031,-37.73055
Tooradin Primary School,Government,Primary,3980,145.37849,-38.20763
Glenferrie Primary School,Government,Primary,3122,145.03397,-37.82405
Elmore Primary School,Government,Primary,3558,144.60891,-36.4972
Dookie Primary School,Government,Primary,3646,145.68279,-36.33107
Brighton Primary School,Government,Primary,3186,145.00108,-37.91221
Natimuk Primary School,Government,Primary,3409,141.9505,-36.74124
Murtoa College,Government,Pri/Sec,3390,142.47574,-36.6235
Big Hill Primary School,Government,Primary,3555,144.24247,-36.83058
Clunes Primary School,Government,Primary,3370,143.79211,-37.29075
Marnoo Primary School,Government,Primary,3387,142.87035,-36.67685
Beechworth Primary School,Government,Primary,3747,146.69357,-36.35543
Ardmona Primary School,Government,Primary,3629,145.31307,-36.38546
Kilmore Primary School,Government,Primary,3764,144.94752,-37.29577
Macarthur Primary School,Government,Primary,3286,142.00147,-38.03088
Barwon Heads Primary School,Government,Primary,3227,144.48704,-38.28119
Keilor Primary School,Government,Primary,3036,144.8357,-37.7169
Dunolly Primary School,Government,Primary,3472,143.73358,-36.85155
Springhurst Primary School,Government,Primary,3682,146.4681,-36.18467
Trentham District Primary School,Government,Primary,3458,144.3281,-37.38797
Warrenheip Primary School,Government,Primary,3352,143.92743,-37.5741
Maiden Gully Primary School,Government,Primary,3551,144.2097,-36.74419
Rupanyup Primary School,Government,Primary,3388,142.62861,-36.63222
Goornong Primary School,Government,Primary,3557,144.50468,-36.617
Oakleigh Primary School,Government,Primary,3166,145.08862,-37.89447
Ceres Primary School,Government,Primary,3221,144.26673,-38.17355
Malvern Central School,Government,Primary,3144,145.0344,-37.85601
Daylesford Primary School,Government,Primary,3460,144.14156,-37.3451
Mooroopna North Primary School,Government,Primary,3629,145.29849,-36.32914
Swan Reach Primary School,Government,Primary,3903,147.86479,-37.82108
Amphitheatre Primary School,Government,Primary,3468,143.39924,-37.18413
Deans Marsh Primary School,Government,Primary,3235,143.88575,-38.39988
Drysdale Primary School,Government,Primary,3222,144.57175,-38.16916
St Arnaud Primary School,Government,Primary,3478,143.25754,-36.6102
Nullawarre and District Primary School,Government,Primary,3268,142.73443,-38.46676
Macedon Primary School,Government,Primary,3440,144.56268,-37.41869
Arthurs Creek Primary School,Government,Primary,3099,145.2025,-37.579
Rye Primary School,Government,Primary,3941,144.82382,-38.37312
Buxton Primary School,Government,Primary,3711,145.70905,-37.4214
Moonambel Primary School,Government,Primary,3478,143.32074,-36.98986
Longford Primary School,Government,Primary,3851,147.08841,-38.16956
Harkaway Primary School,Government,Primary,3806,145.34517,-38.00085
Balnarring Primary School,Government,Primary,3926,145.12282,-38.37672
Carraragarmungee Primary School,Government,Primary,3678,146.46086,-36.3289
Euroa Primary School,Government,Primary,3666,145.57208,-36.75596
Pyramid Hill College,Government,Pri/Sec,3575,144.11368,-36.04736
Shepparton East Primary School,Government,Primary,3631,145.47925,-36.39993
Nicholson Primary School,Government,Primary,3882,147.74791,-37.81578
Kialla West Primary School,Government,Primary,3631,145.38946,-36.46601
Miners Rest Primary School,Government,Primary,3352,143.7947,-37.47788
Glenrowan Primary School,Government,Primary,3675,146.22234,-36.46019
Warrnambool Primary School,Government,Primary,3280,142.48257,-38.37728
Devenish Primary School,Government,Primary,3726,145.89434,-36.32654
Undera Primary School,Government,Primary,3629,145.21893,-36.27636
Dederang Primary School,Government,Primary,3691,147.01531,-36.46925
Eppalock Primary School,Government,Primary,3551,144.38773,-36.84177
Silvan Primary School,Government,Primary,3795,145.42132,-37.8246
Wendouree Primary School,Government,Primary,3355,143.82816,-37.53928
Lancaster Primary School,Government,Primary,3620,145.13282,-36.31325
Raywood Primary School,Government,Primary,3570,144.2048,-36.53947
Puckapunyal Primary School,Government,Primary,3662,145.03351,-37.00263
Landsborough Primary School,Government,Primary,3384,143.13591,-37.00586
Lysterfield Primary School,Government,Primary,3156,145.27623,-37.9116
Winton Primary School,Government,Primary,3673,146.08134,-36.51633
Merrigum Primary School,Government,Primary,3618,145.12966,-36.36932
Bethanga Primary School,Government,Primary,3691,147.09576,-36.12064
Abbotsford Primary School,Government,Primary,3067,144.99881,-37.80898
Newtown Primary School,Government,Primary,3220,144.3372,-38.14577
Windsor Primary School,Government,Primary,3181,144.99569,-37.8573
Narre Warren North Primary School,Government,Primary,3804,145.31692,-37.97859
Buchan Primary School,Government,Primary,3885,148.18082,-37.49774
Anakie Primary School,Government,Primary,3213,144.25511,-37.91267
Moolap Primary School,Government,Primary,3221,144.42431,-38.17096
Footscray City Primary School,Government,Primary,3011,144.90025,-37.8064
Newham Primary School,Government,Primary,3442,144.59476,-37.31215
Plenty Parklands Primary School,Government,Primary,3082,145.07694,-37.66973
White Hills Primary School,Government,Primary,3550,144.30415,-36.72794
Mount Egerton Primary School,Government,Primary,3352,144.10217,-37.62852
Drouin Primary School,Government,Primary,3818,145.85384,-38.13286
Wunghnu Primary School,Government,Primary,3635,145.4306,-36.15066
Maroona Primary School,Government,Primary,3377,142.85847,-37.4328
Jindivick Primary School,Government,Primary,3818,145.90113,-38.02762
Talgarno Primary School,Government,Primary,3691,147.15915,-36.0658
Bungaree Primary School,Government,Primary,3352,144.0071,-37.55759
Little River Primary School,Government,Primary,3211,144.50037,-37.96501
Cowwarr Primary School,Government,Primary,3857,146.69896,-38.0137
Morang South Primary School,Government,Primary,3752,145.09467,-37.65287
Camp Hill Primary School,Government,Primary,3550,144.27804,-36.75571
Pyalong Primary School,Government,Primary,3521,144.85709,-37.11724
Winchelsea Primary School,Government,Primary,3241,143.98428,-38.24449
Buln Buln Primary School,Government,Primary,3821,145.93817,-38.09935
Macarthur Street Primary School,Government,Primary,3350,143.85749,-37.55115
Elliminyt Primary School,Government,Primary,3249,143.5837,-38.36135
Mornington Primary School,Government,Primary,3931,145.04309,-38.22181
Hamilton North Primary School,Government,Primary,3300,141.99515,-37.72646
Mount Blowhard Primary School,Government,Primary,3352,143.78644,-37.42924
Creswick North Primary School,Government,Primary,3363,143.89082,-37.40884
Black Hill Primary School,Government,Primary,3350,143.86978,-37.54984
Brighton Beach Primary School,Government,Primary,3186,144.99611,-37.9221
Castlemaine North Primary School,Government,Primary,3450,144.21899,-37.05783
Yarrambat Primary School,Government,Primary,3091,145.1331,-37.64124
Casterton Primary School,Government,Primary,3311,141.4052,-37.58655
Nathalia Primary School,Government,Primary,3638,145.20589,-36.05752
Chilwell Primary School,Government,Primary,3220,144.34538,-38.15511
Greensborough Primary School,Government,Primary,3088,145.1005,-37.70357
Teesdale Primary School,Government,Primary,3328,144.05459,-38.02923
Cranbourne Primary School,Government,Primary,3977,145.28785,-38.11186
Katamatite Primary School,Government,Primary,3649,145.6853,-36.07735
Buangor Primary School,Government,Primary,3375,143.17502,-37.36404
Leitchville Primary School,Government,Primary,3567,144.30209,-35.90955
Whittlesea Primary School,Government,Primary,3757,145.11405,-37.51427
Little Bendigo Primary School,Government,Primary,3350,143.89506,-37.5429
Newington Primary School,Government,Primary,3350,143.83122,-37.56602
Warragul Primary School,Government,Primary,3820,145.92814,-38.15634
Kangaroo Ground Primary School,Government,Primary,3097,145.21466,-37.69174
Traralgon South Primary School,Government,Primary,3844,146.54015,-38.29726
Coleraine Primary School,Government,Primary,3315,141.68404,-37.60184
Lake Charm Primary School,Government,Primary,3581,143.80023,-35.60664
Ripplebrook Primary School,Government,Primary,3818,145.75849,-38.20349
Numurkah Primary School,Government,Primary,3636,145.445,-36.09024
Moe (Albert Street) Primary School,Government,Primary,3825,146.26435,-38.17471
Geelong South Primary School,Government,Primary,3220,144.35857,-38.15694
Bayswater Primary School,Government,Primary,3153,145.25936,-37.8433
Minyip Primary School,Government,Primary,3392,142.5841,-36.46271
Mulgrave Primary School,Government,Primary,3170,145.19737,-37.93295
Yarragon Primary School,Government,Primary,3823,146.06096,-38.20937
Tyers Primary School,Government,Primary,3844,146.47754,-38.14911
Trafalgar Primary School,Government,Primary,3824,146.15987,-38.21476
Kinglake Primary School,Government,Primary,3763,145.35664,-37.52157
Ellinbank Primary School,Government,Primary,3821,145.93563,-38.24023
Tambo Upper Primary School,Government,Primary,3885,147.8452,-37.7662
Baranduda Primary School,Government,Primary,3691,146.94812,-36.18053
Tungamah Primary School,Government,Primary,3728,145.87947,-36.16131
Bunyip Primary School,Government,Primary,3815,145.71251,-38.09884
Gunbower Primary School,Government,Primary,3566,144.37232,-35.95463
Nar Nar Goon Primary School,Government,Primary,3812,145.57401,-38.08277
Toora Primary School,Government,Primary,3962,146.32799,-38.66352
Montrose Primary School,Government,Primary,3765,145.34369,-37.8081
Koondrook Primary School,Government,Primary,3580,144.12987,-35.63487
Magpie Primary School,Government,Primary,3352,143.84327,-37.61571
Tawonga Primary School,Government,Primary,3697,147.14325,-36.6914
Narracan Primary School,Government,Primary,3824,146.23163,-38.26158
Drouin South Primary School,Government,Primary,3818,145.82682,-38.17057
Eskdale Primary School,Government,Primary,3701,147.25125,-36.46527
Darnum Primary School,Government,Primary,3822,145.9997,-38.18773
Moorooduc Primary School,Government,Primary,3933,145.10517,-38.24809
The Basin Primary School,Government,Primary,3154,145.30842,-37.84951
Paynesville Primary School,Government,Primary,3880,147.7147,-37.91128
Epsom Primary School,Government,Primary,3551,144.31269,-36.70505
Kensington Primary School,Government,Primary,3031,144.92762,-37.79267
Hazelwood North Primary School,Government,Primary,3840,146.44768,-38.26819
Mirboo North Primary School,Government,Primary,3871,146.15109,-38.40049
Yinnar Primary School,Government,Primary,3869,146.32891,-38.32109
Neerim South Primary School,Government,Primary,3831,145.95536,-38.01531
Ivanhoe Primary School,Government,Primary,3079,145.04298,-37.76657
Portarlington Primary School,Government,Primary,3223,144.65498,-38.11552
Menzies Creek Primary School,Government,Primary,3159,145.39427,-37.91735
St Kilda Park Primary School,Government,Primary,3182,144.97779,-37.85812
Labertouche Primary School,Government,Primary,3816,145.80494,-38.03767
Diggers Rest Primary School,Government,Primary,3427,144.70923,-37.62263
Longwarry Primary School,Government,Primary,3816,145.76914,-38.1141
Gembrook Primary School,Government,Primary,3783,145.54532,-37.95164
Wurruk Primary School,Government,Primary,3850,147.03995,-38.1068
Willow Grove Primary School,Government,Primary,3825,146.17734,-38.07139
Hoddles Creek Primary School,Government,Primary,3139,145.59775,-37.83174
Beaconsfield Upper Primary School,Government,Primary,3808,145.41476,-37.9954
Congupna Primary School,Government,Primary,3633,145.43428,-36.29987
Redesdale Mia Mia Primary School,Government,Primary,3444,144.53089,-37.01952
Malvern Primary School,Government,Primary,3145,145.03846,-37.87159
Launching Place Primary School,Government,Primary,3139,145.57077,-37.7825
Carlton Gardens Primary School,Government,Primary,3053,144.96951,-37.80205
Ascot Vale Primary School,Government,Primary,3032,144.92612,-37.77432
Boolarra Primary School,Government,Primary,3870,146.26887,-38.38287
Rosebud Primary School,Government,Primary,3939,144.909,-38.35576
Koo Wee Rup Primary School,Government,Primary,3981,145.49286,-38.19483
Armadale Primary School,Government,Primary,3143,145.01777,-37.85219
Osborne Primary School,Government,Primary,3934,145.04091,-38.25711
Somerville Primary School,Government,Primary,3912,145.17914,-38.22402
Willaura Primary School,Government,Primary,3379,142.73946,-37.54469
Echuca East Primary School,Government,Primary,3564,144.76111,-36.13405
Lakes Entrance Primary School,Government,Primary,3909,147.99424,-37.87598
Myrrhee Primary School,Government,Primary,3732,146.31825,-36.73819
Longwood Primary School,Government,Primary,3665,145.42206,-36.80793
Forrest Primary School,Government,Primary,3236,143.71442,-38.51629
Fairfield Primary School,Government,Primary,3078,145.0204,-37.77799
Nilma Primary School,Government,Primary,3821,145.97429,-38.16574
Garfield Primary School,Government,Primary,3814,145.67415,-38.09056
Yinnar South Primary School,Government,Primary,3869,146.36481,-38.36891
Officer Primary School,Government,Primary,3809,145.41018,-38.05828
Brunswick South Primary School,Government,Primary,3057,144.97254,-37.7787
Orbost Primary School,Government,Primary,3888,148.45772,-37.70791
Inverloch Primary School,Government,Primary,3996,145.72862,-38.6312
Surrey Hills Primary School,Government,Primary,3127,145.1009,-37.82553
Montague Continuing Education Centre,Government,Special,3205,144.94974,-37.8306
