School_Name,Education_Sector,School_Type,Postcode,Longitude,Latitude
Alberton Primary School,Government,Primary,3971,146.6666,-38.61771
Allansford and District Primary School,Government,Primary,3277,142.59039,-38.38628
Avoca Primary School,Government,Primary,3467,143.47565,-37.0845
Avenel Primary School,Government,Primary,3664,145.23472,-36.90137
Warrandyte Primary School,Government,Primary,3113,145.21398,-37.74268
Belmont Primary School,Government,Primary,3216,144.3421,-38.17067
Bacchus Marsh Primary School,Government,Primary,3340,144.44312,-37.67303
Ballarat Primary School (Dana Street),Government,Primary,3350,143.85394,-37.56401
Wodonga Primary School,Government,Primary,3690,146.88982,-36.12921
Berwick Primary School,Government,Primary,3806,145.35442,-38.04409
Beaufort Primary School,Government,Primary,3373,143.38172,-37.43852
Cheltenham Primary School,Government,Primary,3192,145.05463,-37.96861
Cudgee Primary School,Government,Primary,3265,142.65084,-38.34794
Newport Lakes Primary School,Government,Primary,3015,144.87834,-37.83842
Cavendish Primary School,Government,Primary,3314,142.03989,-37.53087
Colac Primary School,Government,Primary,3250,143.59834,-38.33722
Castlemaine Primary School,Government,Primary,3450,144.22233,-37.0666
Campbells Creek Primary School,Government,Primary,3451,144.20466,-37.09293
Creswick Primary School,Government,Primary,3363,143.89156,-37.42411
California Gully Primary School,Government,Primary,3556,144.24986,-36.73321
St Andrews Primary School,Government,Primary,3761,145.26983,-37.60232
Warrnambool West Primary School,Government,Primary,3280,142.4668,-38.36634
Dromana Primary School,Government,Primary,3936,144.95965,-38.33964
Doncaster Primary School,Government,Primary,3108,145.12967,-37.7868
Echuca Primary School,Government,Primary,3564,144.74746,-36.1282
Eltham Primary School,Government,Primary,3095,145.1478,-37.72498
Eaglehawk Primary School,Government,Primary,3556,144.25426,-36.72058
Elphinstone Primary School,Government,Primary,3448,144.3329,-37.105
Hallam Primary School,Government,Primary,3803,145.25824,-38.00176
Flemington Primary School,Government,Primary,3031,144.93392,-37.78067
Footscray Primary School,Government,Primary,3011,144.89267,-37.79838
Gisborne Primary School,Government,Primary,3437,144.58844,-37.49086
Sandringham Primary School,Government,Primary,3191,145.00947,-37.94704
Wandiligong Primary School,Government,Primary,3744,146.98292,-36.76886
Grovedale Primary School,Government,Primary,3216,144.34776,-38.19764
Hawthorn West Primary School,Government,Primary,3122,145.01838,-37.82011
Heidelberg Primary School,Government,Primary,3084,145.0678,-37.7547
Hamilton (Gray Street) Primary School,Government,Primary,3300,142.02138,-37.74491
Heathcote Primary School,Government,Primary,3523,144.70685,-36.92401
Highton Primary School,Government,Primary,3216,144.31708,-38.17216
Huntly Primary School,Government,Primary,3551,144.3344,-36.66254
Bellbrae Primary School,Government,Primary,3228,144.263,-38.33364
Chiltern Primary School,Government,Primary,3683,146.6066,-36.14707
Kyneton Primary School,Government,Primary,3444,144.46269,-37.24889
Romsey Primary School,Government,Primary,3434,144.74538,-37.35418
Shelford Primary School,Government,Primary,3329,143.98214,-38.01399
Lockwood South Primary School,Government,Primary,3551,144.15675,-36.8416
Marong Primary School,Government,Primary,3515,144.13537,-36.73568
Mount Macedon Primary School,Government,Primary,3441,144.58413,-37.40479
Mount Clear Primary School,Government,Primary,3350,143.86837,-37.60474
Melton Primary School,Government,Primary,3337,144.58702,-37.68046
Fitzroy Primary School,Government,Primary,3065,144.98151,-37.7996
Newstead Primary School,Government,Primary,3462,144.06719,-37.10592
Newlyn Primary School,Government,Primary,3364,143.98443,-37.41202
Burwood East Primary School,Government,Primary,3151,145.15181,-37.85973
New Gisborne Primary School,Government,Primary,3438,144.59658,-37.46289
Beeac Primary School,Government,Primary,3251,143.64428,-38.19397
Essendon Primary School,Government,Primary,3040,144.92104,-37.7531
Coburg Primary School,Government,Primary,3058,144.96821,-37.7413
Penshurst Primary School,Government,Primary,3289,142.29133,-37.87918
Myrniong Primary School,Government,Primary,3341,144.34632,-37.61972
Mernda Primary School,Government,Primary,3754,145.09224,-37.5946
Portland Primary School,Government,Primary,3305,141.59941,-38.3473
Stawell Primary School,Government,Primary,3380,142.77378,-37.05613
Rutherglen Primary School,Government,Primary,3685,146.46061,-36.05621
Riddells Creek Primary School,Government,Primary,3431,144.67978,-37.46122
Rokewood Primary School,Government,Primary,3330,143.72281,-37.90366
Geelong East Primary School,Government,Primary,3219,144.38277,-38.17551
Sale Primary School,Government,Primary,3850,147.07364,-38.1083
Skipton Primary School,Government,Primary,3361,143.36816,-37.68686
South Yarra Primary School,Government,Primary,3141,144.98562,-37.84135
Stratford Primary School,Government,Primary,3862,147.08539,-37.96725
Taradale Primary School,Government,Primary,3447,144.35106,-37.14131
Koroit And District Primary School,Government,Primary,3282,142.3687,-38.29244
Tylden Primary School,Government,Primary,3444,144.40878,-37.32497
Thomastown Primary School,Government,Primary,3074,145.0115,-37.68227
Wangaratta Primary School,Government,Primary,3677,146.32942,-36.35528
Wahgunyah Primary School,Government,Primary,3687,146.39792,-36.01365
Woodend Primary School,Government,Primary,3442,144.53294,-37.35342
Woodford Primary School,Government,Primary,3281,142.4845,-38.31681
Werribee Primary School,Government,Primary,3030,144.65874,-37.90687
Winters Flat Primary School,Government,Primary,3450,144.20749,-37.07016
Wooragee Primary School,Government,Primary,3747,146.73088,-36.29048
Wallan Primary School,Government,Primary,3756,144.97504,-37.41146
Woolsthorpe Primary School,Government,Primary,3276,142.43176,-38.18741
Yandoit Primary School,Government,Primary,3461,144.08844,-37.214
Yarram Primary School,Government,Primary,3971,146.67532,-38.55853
Pleasant Street Primary School (Ballarat),Government,Primary,3350,143.8385,-37.55633
Yea Primary School,Government,Primary,3717,145.4283,-37.21273
Lancefield Primary School,Government,Primary,3435,144.72642,-37.27495
Coimadai Primary School,Government,Primary,3340,144.47831,-37.61379
Birregurra Primary School,Government,Primary,3242,143.78651,-38.34046
Clayton North Primary School,Government,Primary,3168,145.12267,-37.91194
Milawa Primary School,Government,Primary,3678,146.43248,-36.44454
Lockwood Primary School,Government,Primary,3551,144.16156,-36.80258
Bealiba Primary School,Government,Primary,3475,143.5519,-36.78994
Bairnsdale Primary School,Government,Primary,3875,147.62323,-37.82742
Gordon Primary School,Government,Primary,3345,144.10505,-37.58385
Hepburn Primary School,Government,Primary,3461,144.13276,-37.30972
Lara Lake Primary School,Government,Primary,3212,144.39564,-38.0304
Rosedale Primary School,Government,Primary,3847,146.7739,-38.1546
Bright P-12 College,Government,Pri/Sec,3741,146.96093,-36.7331
Rochester Primary School,Government,Primary,3561,144.698,-36.3546
Ararat Primary School,Government,Primary,3377,142.93731,-37.28594
Jamieson Primary School,Government,Primary,3723,146.14,-37.30126
Preston South Primary School,Government,Primary,3072,145.00745,-37.74787
Omeo Primary School,Government,Primary,3898,147.59308,-37.10022
Harrietville Primary School,Government,Primary,3741,147.06494,-36.88771
Mordialloc Beach Primary School,Government,Primary,3195,145.08881,-38.00558
Healesville Primary School,Government,Primary,3777,145.51604,-37.65713
Lake Bolac College,Government,Pri/Sec,3351,142.8379,-37.72024
Toongabbie Primary School,Government,Primary,3856,146.62518,-38.05697
Waubra Primary School,Government,Primary,3352,143.63446,-37.35384
