,Postcode,Education_Sector,School_Type,Number_of_Schools
1181,3781,Government,Primary,1
1182,3782,Government,Primary,2
1183,3782,Government,Secondary,1
1184,3782,Independent,Primary,1
1185,3783,Government,Primary,1
1186,3786,Government,Primary,1
1187,3787,Government,Pri/Sec,1
1188,3787,Government,Primary,1
1189,3788,Government,Primary,1
1190,3791,Government,Primary,1
1191,3792,Government,Primary,1
1192,3793,Catholic,Primary,1
1193,3793,Government,Primary,1
1194,3793,Government,Secondary,1
1195,3793,Independent,Pri/Sec,1
1196,3795,Government,Primary,1
1197,3796,Catholic,Primary,1
1198,3796,Government,Primary,2
1199,3796,Government,Special,1
1200,3796,Independent,Pri/Sec,1
1201,3797,Catholic,Primary,1
1202,3797,Government,Primary,2
1203,3797,Government,Secondary,1
1204,3797,Independent,Pri/Sec,1
1205,3799,Government,Primary,3
1206,3800,Government,Secondary,1
1207,3802,Catholic,Primary,2
1208,3802,Government,Primary,5
1209,3802,Government,Secondary,1
1210,3802,Government,Special,1
1211,3802,Independent,Pri/Sec,1
1212,3803,Government,Primary,1
1213,3803,Government,Secondary,1
1214,3804,Catholic,Primary,1
1215,3804,Government,Primary,1
1216,3804,Independent,Pri/Sec,1
1217,3804,Independent,Primary,2
1218,3805,Catholic,Primary,2
1219,3805,Government,Pri/Sec,1
1220,3805,Government,Primary,6
1221,3805,Government,Secondary,1
1222,3805,Government,Special,1
1223,3805,Independent,Pri/Sec,1
1224,3805,Independent,Special,1
1225,3806,Catholic,Primary,2
1226,3806,Government,Pri/Sec,1
1227,3806,Government,Primary,6
1228,3806,Government,Secondary,3
1229,3806,Independent,Pri/Sec,1
1230,3807,Catholic,Secondary,1
1231,3807,Government,Primary,1
1232,3808,Government,Primary,1
1233,3809,Catholic,Primary,2
1234,3809,Government,Primary,3
1235,3809,Government,Secondary,1
1236,3809,Government,Special,1
1237,3810,Catholic,Primary,1
1238,3810,Government,Primary,6
1239,3810,Government,Secondary,2
1240,3810,Independent,Pri/Sec,2
1241,3812,Catholic,Primary,1
1242,3812,Government,Primary,1
1243,3813,Independent,Pri/Sec,1
1244,3814,Government,Primary,1
1245,3815,Catholic,Primary,1
1246,3815,Government,Primary,1
1247,3816,Government,Primary,2
1248,3818,Catholic,Primary,1
1249,3818,Government,Primary,5
1250,3818,Government,Secondary,1
1251,3818,Independent,Pri/Sec,1
1252,3820,Catholic,Primary,2
1253,3820,Catholic,Secondary,1
1254,3820,Government,Primary,3
1255,3820,Government,Secondary,1
1256,3820,Government,Special,1
1257,3820,Independent,Pri/Sec,1
1258,3820,Independent,Special,1
1259,3821,Government,Primary,4
1260,3822,Government,Primary,1
1261,3823,Government,Primary,1
1262,3824,Catholic,Primary,1
1263,3824,Government,Primary,2
1264,3824,Government,Secondary,1
1265,3825,Catholic,Primary,2
1266,3825,Government,Primary,9
1267,3825,Government,Secondary,1
1268,3825,Government,Special,1
1269,3831,Government,Primary,1
1270,3831,Government,Secondary,1
1271,3835,Government,Primary,1
1272,3840,Catholic,Primary,2
1273,3840,Government,Primary,3
1274,3840,Government,Secondary,1
1275,3842,Catholic,Primary,1
1276,3842,Government,Primary,2
1277,3844,Catholic,Primary,2
1278,3844,Catholic,Secondary,1
1279,3844,Government,Primary,6
1280,3844,Government,Secondary,1
1281,3844,Government,Special,1
1282,3847,Government,Primary,2
1283,3850,Catholic,Primary,2
1284,3850,Catholic,Secondary,1
1285,3850,Government,Primary,4
1286,3850,Government,Secondary,1
1287,3850,Government,Special,1
1288,3850,Independent,Pri/Sec,1
1289,3851,Government,Primary,6
1290,3854,Government,Primary,1
1291,3856,Government,Primary,1
1292,3857,Government,Primary,1
1293,3858,Catholic,Primary,1
1294,3858,Government,Primary,1
1295,3860,Catholic,Primary,1
1296,3860,Government,Primary,3
1297,3860,Government,Secondary,1
1298,3862,Catholic,Primary,1
1299,3862,Government,Primary,1
1300,3865,Government,Primary,1
1301,3869,Government,Primary,2
1302,3870,Government,Primary,1
1303,3871,Government,Primary,1
1304,3871,Government,Secondary,1
1305,3873,Government,Primary,1
1306,3874,Government,Primary,1
1307,3875,Catholic,Primary,1
1308,3875,Catholic,Secondary,1
1309,3875,Government,Primary,5
1310,3875,Government,Secondary,1
1311,3875,Government,Special,1
1312,3875,Independent,Pri/Sec,1
1313,3875,Independent,Primary,1
1314,3878,Government,Primary,1
1315,3880,Government,Primary,1
1316,3882,Government,Primary,1
1317,3885,Government,Primary,3
1318,3886,Government,Primary,1
1319,3888,Catholic,Primary,1
1320,3888,Government,Primary,3
1321,3888,Government,Secondary,1
1322,3890,Government,Pri/Sec,1
1323,3892,Government,Pri/Sec,1
1324,3896,Government,Pri/Sec,1
1325,3898,Government,Camp,1
1326,3898,Government,Primary,1
1327,3903,Government,Primary,1
1328,3904,Government,Primary,1
1329,3909,Catholic,Primary,1
1330,3909,Government,Primary,3
1331,3909,Government,Secondary,1
1332,3910,Catholic,Primary,1
1333,3910,Government,Primary,3
1334,3910,Government,Secondary,1
1335,3911,Government,Primary,1
1336,3911,Independent,Pri/Sec,2
1337,3912,Catholic,Primary,1
1338,3912,Government,Primary,3
1339,3912,Government,Secondary,1
1340,3913,Government,Primary,2
1341,3913,Independent,Pri/Sec,1
1342,3915,Catholic,Primary,1
1343,3915,Government,Primary,2
1344,3915,Government,Secondary,1
1345,3918,Government,Primary,1
1346,3919,Catholic,Primary,1
1347,3919,Government,Primary,1
1348,3921,Government,Primary,1
1349,3922,Catholic,Primary,1
1350,3922,Government,Primary,1
1351,3922,Independent,Primary,1
1352,3923,Independent,Pri/Sec,1
1353,3925,Government,Primary,2
1354,3926,Government,Primary,1
1355,3927,Government,Primary,2
1356,3930,Catholic,Primary,1
1357,3930,Government,Primary,3
1358,3930,Government,Secondary,1
1359,3930,Independent,Pri/Sec,2
1360,3931,Catholic,Primary,1
1361,3931,Catholic,Secondary,1
1362,3931,Government,Primary,3
1363,3931,Government,Secondary,1
1364,3931,Government,Special,1
1365,3933,Government,Primary,1
1366,3934,Government,Primary,2
1367,3934,Independent,Pri/Sec,1
1368,3936,Government,Primary,1
1369,3936,Government,Secondary,1
1370,3936,Government,Special,1
1371,3937,Government,Primary,1
1372,3939,Catholic,Primary,1
1373,3939,Government,Primary,2
1374,3939,Government,Secondary,1
1375,3939,Independent,Special,1
1376,3940,Government,Primary,1
1377,3941,Government,Primary,2
1378,3943,Catholic,Primary,1
1379,3943,Government,Primary,1
1380,3945,Government,Primary,1
1381,3950,Catholic,Primary,1
1382,3950,Government,Primary,1
1383,3950,Government,Secondary,1
1384,3951,Government,Primary,1
1385,3953,Catholic,Primary,1
1386,3953,Catholic,Secondary,1
1387,3953,Government,Primary,1
1388,3953,Government,Secondary,1
1389,3953,Government,Special,1
1390,3954,Independent,Primary,1
1391,3956,Government,Primary,2
1392,3959,Government,Primary,1
1393,3960,Government,Primary,1
1394,3960,Government,Secondary,1
1395,3962,Government,Primary,1
1396,3966,Government,Primary,1
1397,3971,Catholic,Primary,1
1398,3971,Government,Primary,2
1399,3971,Government,Secondary,1
1400,3975,Catholic,Primary,1
1401,3975,Government,Primary,2
1402,3976,Catholic,Primary,1
1403,3976,Government,Primary,4
1404,3976,Government,Secondary,1
1405,3977,Catholic,Primary,3
1406,3977,Government,Primary,14
1407,3977,Government,Secondary,5
1408,3977,Government,Special,1
1409,3977,Independent,Pri/Sec,2
1410,3978,Catholic,Secondary,1
1411,3978,Government,Primary,6
1412,3978,Government,Secondary,1
1413,3978,Independent,Pri/Sec,1
1414,3978,Independent,Primary,1
1415,3980,Government,Primary,1
1416,3981,Catholic,Primary,1
1417,3981,Government,Primary,2
1418,3981,Government,Secondary,1
1419,3984,Government,Primary,2
1420,3987,Government,Primary,1
1421,3988,Government,Primary,1
1422,3992,Government,Primary,1
1423,3992,Independent,Secondary,1
1424,3995,Catholic,Primary,1
1425,3995,Government,Primary,2
1426,3995,Government,Secondary,1
1427,3995,Government,Special,1
1428,3996,Government,Primary,1
